Element,Direction,Pat,Major_Functional_Class,TERM
TNF-A,Decrease,PatMic1,Immune cell amplification,positive regulation of synoviocyte proliferation
TNF-A,Decrease,PatMic1,Immune cell activation,positive regulation of neutrophil activation
TNF-A,Decrease,PatMic1,Resolution,negative regulation of miRNA transcription
TNF-A,Decrease,PatMic1,Resolution,negative regulation of bicellular tight junction assembly
TNF-A,Decrease,PatMic1,Immune cell amplification,positive regulation of vascular associated smooth muscle cell proliferation
TNF-A,Decrease,PatMic1,Resolution,negative regulation of signaling receptor activity
TNF-A,Decrease,PatMic1,Immune cell amplification,positive regulation of hepatocyte proliferation
TNF-A,Decrease,PatMic1,Tissue destruction,regulation of endothelial cell apoptotic process
TNF-A,Decrease,PatMic1,Resolution,negative regulation of apoptotic signaling pathway
TNF-A,Decrease,PatMic1,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
TNF-A,Decrease,PatMic1,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
VEGF,Decrease,PatMic1,Resolution,negative regulation of transcription by RNA polymerase II
VEGF,Decrease,PatMic1,Tissue construction / repair,angiogenesis
VEGF,Decrease,PatMic1,Immune cell amplification,endothelial cell proliferation
VEGF,Decrease,PatMic1,Immune cell amplification,positive regulation of endothelial cell proliferation
VEGF,Decrease,PatMic1,Tissue construction / repair,lymphangiogenesis
VEGF,Decrease,PatMic1,Tissue construction / repair,sprouting angiogenesis
VEGF,Decrease,PatMic1,Immune cell positioning,cell migration involved in sprouting angiogenesis
VEGF,Decrease,PatMic1,Immune cell amplification,positive regulation of neuroblast proliferation
VEGF,Decrease,PatMic1,Tissue construction / repair,epithelial cell maturation
VEGF,Decrease,PatMic1,Immune cell positioning,basophil chemotaxis
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of leukocyte migration
VEGF,Decrease,PatMic1,Tissue destruction,apoptotic process
VEGF,Decrease,PatMic1,Immune cell amplification,neuroblast proliferation
VEGF,Decrease,PatMic1,Immune cell amplification,positive regulation of cell population proliferation
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of endothelial cell migration
VEGF,Decrease,PatMic1,Resolution,negative regulation of gene expression
VEGF,Decrease,PatMic1,Resolution,negative regulation of epithelial to mesenchymal transition
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of cell migration
VEGF,Decrease,PatMic1,Tissue construction / repair,epithelial cell differentiation
VEGF,Decrease,PatMic1,Immune cell positioning,endothelial cell chemotaxis
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway
VEGF,Decrease,PatMic1,Immune cell amplification,positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway
VEGF,Decrease,PatMic1,Resolution,negative regulation of apoptotic process
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of blood vessel endothelial cell migration
VEGF,Decrease,PatMic1,Resolution,negative regulation of fat cell differentiation
VEGF,Decrease,PatMic1,Bone remodeling,positive regulation of osteoblast differentiation
VEGF,Decrease,PatMic1,Tissue construction / repair,positive regulation of angiogenesis
VEGF,Decrease,PatMic1,Immune cell amplification,positive regulation of epithelial cell proliferation
VEGF,Decrease,PatMic1,Immune cell positioning,positive chemotaxis
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of positive chemotaxis
VEGF,Decrease,PatMic1,Immune cell positioning,induction of positive chemotaxis
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of mast cell chemotaxis
VEGF,Decrease,PatMic1,Tissue construction / repair,vascular wound healing
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of cell migration involved in sprouting angiogenesis
VEGF,Decrease,PatMic1,Immune cell positioning,motor neuron migration
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of trophoblast cell migration
VEGF,Decrease,PatMic1,Tissue construction / repair,positive regulation of lymphangiogenesis
VEGF,Decrease,PatMic1,Resolution,negative regulation of miRNA transcription
VEGF,Decrease,PatMic1,Resolution,negative regulation of establishment of endothelial barrier
VEGF,Decrease,PatMic1,Resolution,negative regulation of adherens junction organization
VEGF,Decrease,PatMic1,Immune cell amplification,positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
VEGF,Decrease,PatMic1,Tissue construction / repair,positive regulation of sprouting angiogenesis
VEGF,Decrease,PatMic1,Tissue construction / repair,positive regulation of epithelial tube formation
VEGF,Decrease,PatMic1,Resolution,negative regulation of blood-brain barrier permeability
VEGF,Decrease,PatMic1,Resolution,negative regulation of cell-cell adhesion mediated by cadherin
VEGF,Decrease,PatMic1,Immune cell positioning,positive regulation of endothelial cell chemotaxis
MMP-2,Increase,PatMic1,Tissue construction / repair,angiogenesis
MMP-2,Increase,PatMic1,Resolution,negative regulation of cell adhesion
MMP-2,Increase,PatMic1,Tissue construction / repair,peripheral nervous system axon regeneration
MMP-2,Increase,PatMic1,Immune cell positioning,cell migration
MMP-2,Increase,PatMic1,Tissue construction / repair,extracellular matrix organization
MMP-2,Increase,PatMic1,Immune cell positioning,positive regulation of cell migration
MMP-2,Increase,PatMic1,Resolution,negative regulation of vasoconstriction
MMP-2,Increase,PatMic1,Immune cell positioning,macrophage chemotaxis
MMP-2,Increase,PatMic1,Tissue destruction,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
MMP-2,Increase,PatMic1,Immune cell amplification,positive regulation of vascular associated smooth muscle cell proliferation
RANKL,Decrease,PatMic1,Resolution,negative regulation of transcription by RNA polymerase II
RANKL,Decrease,PatMic1,Immune cell amplification,osteoclast proliferation
RANKL,Decrease,PatMic1,Immune cell positioning,monocyte chemotaxis
RANKL,Decrease,PatMic1,Bone remodeling,osteoclast differentiation
RANKL,Decrease,PatMic1,Immune cell amplification,mammary gland epithelial cell proliferation
RANKL,Decrease,PatMic1,Bone remodeling,osteoclast development
RANKL,Decrease,PatMic1,Tissue destruction,bone resorption
RANKL,Decrease,PatMic1,Bone remodeling,positive regulation of osteoclast differentiation
RANKL,Decrease,PatMic1,Tissue destruction,positive regulation of bone resorption
RANKL,Decrease,PatMic1,Immune cell activation,positive regulation of T cell activation
RANKL,Decrease,PatMic1,Bone remodeling,positive regulation of osteoclast development
RANKL,Decrease,PatMic1,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
GDF-15,Increase,PatMic1,Immune cell positioning,negative regulation of leukocyte migration
GDF-15,Increase,PatMic1,Resolution,negative regulation of transforming growth factor beta receptor signaling pathway
GDF-15,Increase,PatMic1,Resolution,negative regulation of appetite
GDF-15,Increase,PatMic1,Resolution,negative regulation of multicellular organism growth
GDF-15,Increase,PatMic1,Resolution,negative regulation of SMAD protein signal transduction
GDF-15,Increase,PatMic1,Resolution,negative regulation of growth hormone receptor signaling pathway
Periostin,Increase,PatMic1,Resolution,negative regulation of cell-matrix adhesion
Periostin,Increase,PatMic1,Immune cell positioning,positive regulation of smooth muscle cell migration
Periostin,Increase,PatMic1,Tissue construction / repair,extracellular matrix organization
Periostin,Increase,PatMic1,Resolution,negative regulation of substrate adhesion-dependent cell spreading
Periostin,Increase,PatMic1,Tissue construction / repair,bone regeneration
Granzyme B,Increase,Pat1Micsta,Tissue destruction,apoptotic process
Granzyme B,Increase,Pat1Micsta,Resolution,negative regulation of translation
Granzyme B,Increase,Pat1Micsta,Tissue destruction,granzyme-mediated programmed cell death signaling pathway
SCF,Increase,Pat1Micsta,Immune cell positioning,neural crest cell migration
SCF,Increase,Pat1Micsta,Immune cell positioning,positive regulation of leukocyte migration
SCF,Increase,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
SCF,Increase,Pat1Micsta,Tissue destruction,mast cell apoptotic process
SCF,Increase,Pat1Micsta,Resolution,negative regulation of mast cell apoptotic process
SCF,Increase,Pat1Micsta,Tissue destruction,ectopic germ cell programmed cell death
SCF,Increase,Pat1Micsta,Immune cell amplification,T cell proliferation
SCF,Increase,Pat1Micsta,Immune cell amplification,positive regulation of T cell proliferation
SCF,Increase,Pat1Micsta,Immune cell amplification,mast cell proliferation
SCF,Increase,Pat1Micsta,Immune cell amplification,positive regulation of mast cell proliferation
SCF,Increase,Pat1Micsta,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
SCF,Increase,Pat1Micsta,Immune cell positioning,melanocyte migration
SCF,Increase,Pat1Micsta,Immune cell positioning,mast cell migration
SCF,Increase,Pat1Micsta,Immune cell amplification,positive regulation of hematopoietic stem cell proliferation
TRAIL,Decrease,Pat1Micsta,Tissue destruction,apoptotic process
TRAIL,Decrease,Pat1Micsta,Tissue destruction,TRAIL-activated apoptotic signaling pathway
TRAIL,Decrease,Pat1Micsta,Tissue destruction,positive regulation of apoptotic process
TRAIL,Decrease,Pat1Micsta,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
ENA-78,Decrease,Pat1Micsta,Immune cell positioning,chemotaxis
ENA-78,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
ENA-78,Decrease,Pat1Micsta,Immune cell positioning,neutrophil chemotaxis
EGF,Decrease,Pat1Micsta,Tissue construction / repair,angiogenesis
EGF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of endothelial cell proliferation
EGF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
EGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of endothelial cell migration
EGF,Decrease,Pat1Micsta,Immune cell amplification,cerebellar granule cell precursor proliferation
EGF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cerebellar granule cell precursor proliferation
EGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
EGF,Decrease,Pat1Micsta,Immune cell activation,regulation of receptor signaling pathway via JAK-STAT
EGF,Decrease,Pat1Micsta,Tissue construction / repair,branching morphogenesis of an epithelial tube
EGF,Decrease,Pat1Micsta,Immune cell amplification,epithelial cell proliferation
EGF,Decrease,Pat1Micsta,Resolution,negative regulation of secretion
EGF,Decrease,Pat1Micsta,Resolution,negative regulation of cholesterol efflux
EGF,Decrease,Pat1Micsta,Tissue construction / repair,positive regulation of epithelial tube formation
Eotaxin,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of endothelial cell proliferation
Eotaxin,Decrease,Pat1Micsta,Immune cell positioning,mast cell chemotaxis
Eotaxin,Decrease,Pat1Micsta,Immune cell positioning,chemotaxis
Eotaxin,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
Eotaxin,Decrease,Pat1Micsta,Tissue construction / repair,positive regulation of angiogenesis
Eotaxin,Decrease,Pat1Micsta,Immune cell positioning,eosinophil chemotaxis
Eotaxin,Decrease,Pat1Micsta,Resolution,negative regulation of neurogenesis
Flt-3L,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
GM-CSF,Decrease,Pat1Micsta,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
GM-CSF,Decrease,Pat1Micsta,Immune cell amplification,cell population proliferation
GM-CSF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
GM-CSF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
GM-CSF,Decrease,Pat1Micsta,Tissue construction / repair,epithelial fluid transport
GM-CSF,Decrease,Pat1Micsta,Resolution,negative regulation of DNA-templated transcription
GM-CSF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of leukocyte proliferation
GM-CSF,Decrease,Pat1Micsta,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
IFN-A,Decrease,Pat1Micsta,Immune cell activation,T cell activation involved in immune response
IFN-A,Decrease,Pat1Micsta,Immune cell activation,B cell activation involved in immune response
IFN-A,Decrease,Pat1Micsta,Immune cell activation,natural killer cell activation involved in immune response
IFN-y,Decrease,Pat1Micsta,Resolution,negative regulation of transcription by RNA polymerase II
IFN-y,Decrease,Pat1Micsta,Immune cell activation,microglial cell activation
IFN-y,Decrease,Pat1Micsta,Immune cell activation,positive regulation of cytokine production
IFN-y,Decrease,Pat1Micsta,Immune cell activation,macrophage activation involved in immune response
